Username,Password,Friends,,,Posts,,
ArthurHermione,12345678,MalfoyGilderoy,FilchVernon,KreacherParvati,Pansy Parkinson: Started a fashion line inspired by Death Eater masks. It's all the rage in Slytherin. #DarkMarkCouture,Fred and George Weasley - Opening a new joke shop in Diagon Alley! Weasley's Wizard Wheezes - pranks for all occasions! #MischiefManaged,Ron Weasley: Accidentally turned my pet rat into a cup. Oops! #MagicalMishaps #TransfigurationTroubles
BartyPetunia,98765432,SiriusTonks, , ,Viktor Krum: Training for the next Quidditch World Cup. Ready to catch the Golden Snitch! #SeekerSkills #Durmstrang,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf,Rita Skeeter - Latest scoop: Harry Potter seen in Hogsmeade with a mysterious creature. Exclusive details in the Daily Prophet! #GossipQueen
BellatrixHarry,12345678,VernonLupin,MalfoySirius,FredNeville,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts,@FredAndGeorge: Who needs a love potion when you've got our latest product Heartbreaker Jellybeans? Grab a pack and wreak havoc! #PrankstersUnleashed #FredAndGeorge,Harry Potter: Just defeated another dark wizard. NBD. #AurorLife #NoMugglesWereHarmed
BellatrixSirius,98765432,GeorgeHarry,DumbledoreKarkaroff,DudleySnape,Fred Weasley: Just pranked Snape with some extendable ears. Never gets old! #WeasleyWizardWheezes #MaraudersMap,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince,Dobby - Dobby is a free elf! No more serving the Malfoys. What's next for Dobby? #FreeElf
CedricArthur,12345678,MalfoyGilderoy,FilchPetunia,FleurRon,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince,Peeves - Causing chaos in the Great Hall again! Who needs order anyway? #PeevesPranks,Fred Weasley: Just pranked Snape with some extendable ears. Never gets old! #WeasleyWizardWheezes #MaraudersMap
CedricBarty,98765432,NaginiLockhart,SiriusMyrtle,CedricDraco,@LunaLovegood: Just spotted a Crumple-Horned Snorkack on my way to class. They're real you know. #LunaLogic #BelieveInMagic,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf,Draco Malfoy - Just got a Nimbus 2001. Father says it's the best broomstick in the wizarding world. Jealous much Potter? #PurebloodPerks
CedricDraco,12345678,CedricArthur,LupinLavender, ,Hagrid: Just adopted a new Blast-Ended Skrewt. Anyone have tips on creature care? #MagicalMenagerie #HagridsHut,Hagrid: Just adopted a new Blast-Ended Skrewt. Anyone have tips on creature care? #MagicalMenagerie #HagridsHut,@MoaningMyrtle: Ugh another day haunting the bathroom. Can't a ghost catch a break? #MoaningMyrtle #GhostProblems
CedricVernon,98765432,FredNeville,SiriusLockhart,MalfoyGilderoy,Cedric Diggory - Training hard for the Triwizard Tournament. It's not just about winning; it's about doing your best! #TriwizardPrep,Professor McGonagall - Reminder to all students: Transfiguration is not to be used on fellow classmates even if they annoy you. #TransfigurationTroubles,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts
DracoBellatrix,12345678,SiriusLockhart,HagridHarry,ArthurHermione,@Dobby_TheElf: Dobby is a free elf! Enjoying the freedom and maybe some socks. #FreeElf #DobbyIsHappy,@HogwartsExp: All aboard the Hogwarts Express! Next stop: Magic and Adventure. #BackToHogwarts #TrainRide,Nearly Headless Nick - Celebrating 500 years of nearly headlessness! A milestone in the afterlife. #NearlyHeadless500
DracoKarkaroff,98765432,NaginiLockhart,MalfoyVoldemort, ,Sirius Black: Just escaped Azkaban. Again. #PrisonerNoMore #Padfoot,@MagicalMenagerie: Just got a new delivery of magical creatures! From Pygmy Puffs to Blast-Ended Skrewts we've got it all. #MagicalMenagerie #CreatureCraze,Professor McGonagall: Another year at Hogwarts and I've already turned into a cat twice. #AnimagusProblems #TransfigurationTeacher
